City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Ucluelet,CA,48.9329,-125.5528,45.09,92,100,7.23,overcast clouds
200,Salalah,OM,17.0151,54.0924,89.69,58,40,12.66,scattered clouds
201,Pangnirtung,CA,66.1451,-65.7125,41.0,81,20,5.75,few clouds
202,Tabou,CI,4.423,-7.3528,81.43,73,99,5.1,overcast clouds
203,Grindavik,IS,63.8424,-22.4338,55.35,76,75,23.02,broken clouds
204,Muros,ES,42.7762,-9.0603,74.68,78,82,8.63,broken clouds
205,Pirovskoye,RU,57.6267,92.2658,52.0,72,66,5.12,light rain
206,Hasaki,JP,35.7333,140.8333,59.4,84,100,19.08,overcast clouds
207,Lavrentiya,RU,65.5833,-171.0,36.41,81,44,1.39,scattered clouds
208,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,60,0,3.44,clear sky
209,Avarua,CK,-21.2078,-159.775,77.05,83,75,11.5,broken clouds
210,Baculin,PH,7.4525,126.5842,78.6,87,88,4.21,overcast clouds
211,Dehloran,IR,32.6941,47.2679,113.59,5,18,13.11,few clouds
212,Abu Kamal,SY,34.4506,40.9171,97.43,14,87,12.19,overcast clouds
213,Yulara,AU,-25.2406,130.9889,50.79,52,0,10.83,clear sky
214,Igrim,RU,63.1906,64.4162,65.91,29,0,8.39,clear sky
215,Spoleto,IT,42.7448,12.7374,89.1,25,92,10.89,overcast clouds
216,Laguna De Perlas,NI,12.3429,-83.6712,75.29,86,100,4.45,overcast clouds
217,Tasiilaq,GL,65.6145,-37.6368,42.96,68,100,3.13,overcast clouds
218,Lorengau,PG,-2.0226,147.2712,80.65,80,100,6.69,overcast clouds
219,Acapulco,MX,16.8634,-99.8901,75.02,88,75,0.0,broken clouds
220,Khor,RU,47.8861,134.9464,59.4,71,95,1.83,overcast clouds
221,Markala,ML,13.7021,-6.0659,97.77,28,22,10.42,few clouds
222,Milyutinskaya,RU,48.6279,41.6679,79.5,38,24,11.54,few clouds
223,Komsomolskiy,UZ,40.4272,71.7189,93.92,14,0,4.61,clear sky
224,Esperance,AU,-33.8667,121.9,52.99,68,16,8.77,few clouds
225,Santa Maria Del Oro,MX,25.9333,-105.3667,70.16,46,9,3.29,clear sky
226,Itaituba,BR,-4.2761,-55.9836,82.56,78,20,4.61,few clouds
227,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,20,13.89,few clouds
228,Benghazi,LY,32.1167,20.0667,78.73,70,0,9.98,clear sky
229,Shirgaon,IN,19.7,72.7,86.22,77,23,10.83,few clouds
230,Quatre Cocos,MU,-20.2078,57.7625,76.08,75,87,11.14,light rain
231,Bengkulu,ID,-3.8004,102.2655,77.54,86,71,2.84,heavy intensity rain
232,Talnakh,RU,69.4865,88.3972,43.21,68,100,14.88,overcast clouds
233,Mapiripan,CO,2.8892,-72.1256,75.94,91,84,2.98,broken clouds
234,Esil,KZ,51.9556,66.4042,86.43,22,100,17.0,overcast clouds
235,Port Elizabeth,ZA,-33.918,25.5701,77.29,41,20,5.75,few clouds
236,Portland,US,45.5234,-122.6762,50.86,92,20,3.0,few clouds
